,title,company name,link,date listed,salary,job description,Partially visually impaired,Hearing Impaired,LV,HI,MPD,PD,CP
290,Administrative Assistant (2-year Contract),CapitaLand,sg.indeed.com/rc/clk?jk=fb63764092d20b7b&fccid=2ff585682e0825cf&vjs=3,Posted30+ days ago,,"CapitaLand Group (CapitaLand) is one of Asia’s largest diversified real estate groups. Headquartered in Singapore, CapitaLand’s portfolio spans across…",,,1,1,1,1,1
291,Patient Service Associate,National Cancer Centre Singapore,sg.indeed.com/rc/clk?jk=fd5f5da500ff4102&fccid=f395f3c1e7937bc4&vjs=3,Posted12 days ago,,"You will greet and receive patients at reception area and be responsible for the registration of patients, payment collection and appointment scheduling.",,,1,0,1,1,1
292,Accounts assistant,AMBIENCE COOL AIRCONDITIONING & ENGINEERING PTE....,sg.indeed.com/rc/clk?jk=80893e7ece0b0a5c&fccid=dd616958bd9ddc12&vjs=3,Posted4 days ago,,"Part time job two to three weekdays per week.
Data entry accounts related to support accountant.
No complex experience needed, team Player is a bonus.",,,1,1,1,1,1
293,Both Clerical Data Entry Assistant Needed,Singapore,sg.indeed.com/rc/clk?jk=e2366b21e12d626b&fccid=3ddb8f68c8f9f588&vjs=3,Posted15 days ago,,"Customer driven with ability to communicate at all levels.
Customer driven with ability to communicate at all levels.",,,0,0,0,0,0
294,Management Trainee,SEO ENG JOO FROZEN FOOD PTE LTD,sg.indeed.com/rc/clk?jk=f19e6fb80a86f46e&fccid=75f61244eaccc490&vjs=3,Posted10 days ago,"$2,600 - $3,600 a month",Provide support as needed in various departments.,,,1,0,1,1,1
295,Human Resource Assistant,Arise and Thrive,sg.indeed.com/company/Arise-and-Thrive/jobs/Human-Resource-Assistant-f5f82b92abef44d7?fccid=49587e09dfd8349d&vjs=3,EmployerActive 2 days ago,"$2,500 - $3,500 a month","Polytechnic Diploma or GCE ‘A’ Level.
Proficiency in Microsoft Email, Words and Excel.
Posting advertisement, Phone screening for shortlisting, Arranging…",,,1,1,1,1,0
296,Packer,Benelux Flowers and Food Private Limited,sg.indeed.com/rc/clk?jk=cd4cde0c7b883bca&fccid=c3141449a840da77&vjs=3,Posted30+ days ago,,Kindly send your updated resume to hr@beneluxproduce.com to be shortlisted for an interview Call 6779 6890 (EXT 125) for more information -Packing & sorting…,,,1,1,1,1,1
297,Production Support,Shopee,sg.indeed.com/rc/clk?jk=d52337fea8d57094&fccid=0b476c4a7add47fe&vjs=3,Posted30+ days ago,,"Respond to system queries, perform troubleshooting, and conduct research to identify solutions to the reported issues.",,,0,0,1,1,0
298,Flame Artist,HECKLER SG PTE. LTD.,sg.indeed.com/rc/clk?jk=fb557c58e9d0d225&fccid=afdf339c2e2dda84&vjs=3,PostedJust posted,"$8,000 - $15,000 a month",You will display a strong level of conceptual thinking and keep up to date with current software and post-production methods.,,,0,0,0,0,0
299,WareHouse Supervsior,CONCEPT SHARED SERVICES PTE. LTD.,sg.indeed.com/rc/clk?jk=0942a48f233a1f35&fccid=693aadd0d15cfd3f&vjs=3,Posted7 days ago,"$2,500 - $3,500 a month","Receiving, storage and inventory management , as well as organizing the shipments for delivery to customers with assistant of logistics supervisor.",,,0,0,1,0,0
300,Warehouse Customer Service Officer,KWE-KINTETSU WORLD EXPRESS (S) PTE LTD,sg.indeed.com/rc/clk?jk=68972273d0a51a2e&fccid=41a1c4c9c37cce83&vjs=3,Posted4 days ago,"$2,200 - $2,800 a month","Perform data processing and transactions on KWE's WMS (warehouse management system) or customer's system.
Communication with our customers via both email and…",,,0,0,1,1,0
301,storekeeper,Singapore Technologies Engineering Ltd,sg.indeed.com/rc/clk?jk=57725970654c2e01&fccid=16f2eddd48b4b6c3&vjs=3,Posted30+ days ago,,"Responsible to store supervisor on aircraft parts Good receipt and Good Issue .
To assist store supervisor to ensure proper storage ,adequate segregation and…",,,1,1,1,1,1
302,Clinic Assistant,Tayka Medical Pte Ltd,sg.indeed.com/company/Tayka-Medical-Pte-Ltd/jobs/Clinic-Assistant-31b93d45a1d02bc4?fccid=b82a2b94f3964185&vjs=3,EmployerActive 7 days ago,"$2,000 - $2,500 a month",The basic requirements of the job include patient registration dispensing of medication collecting of monies as well as assisting the doctor in various clinical…,,,1,1,1,1,1
303,Rig Personnel,Seacom,sg.indeed.com/rc/clk?jk=c7ccf871598be367&fccid=c0667ca22db672dc&vjs=3,Posted30+ days ago,,Years of experience in related position.,,,0,0,0,0,0
304,Analyzer Technician,ExxonMobil,sg.indeed.com/rc/clk?jk=7cec338533b7447e&fccid=1ddb91d85c72e885&vjs=3,Posted30+ days ago,,"Commission, maintain and operate process analyzers.
Provide timely status updates for all equipment at analyzer shelters/houses and execute preventive and…",,,0,0,0,0,0
305,DESKTOP SUPPORT ENGINEER,Opus IT Services Pty Ltd,sg.indeed.com/rc/clk?jk=8dea36c71a15d4ff&fccid=1a75f9ac54ebf791&vjs=3,Posted30+ days ago,,"At least 1 year relevant experience in related field.
Provide technical support to end users on their daily IT usage problem.",,,0,0,0,0,0
306,Illustrators,Gram Pte Ltd,sg.indeed.com/rc/clk?jk=882c0f413cc4d56c&fccid=fd2a01e75146a4ed&vjs=3,Posted30+ days ago,,"Be good at conceptualizing and storyboarding.
Be flexible with illustrating different styles.
Be able to explain your concepts well and in a simple manner.",,,0,0,1,1,0
307,Production Specialist,Quesscorp Singapore,sg.indeed.com/company/Quesscorp/jobs/Production-Specialist-8705bb934ac498ba?fccid=4ae7c13dfeef45b2&vjs=3,EmployerActive 2 days ago,"$2,000 - $2,700 a month",To participate in continuous improvement or Kaizen events and provide feedback on ways to improve current work process.,,,1,0,1,1,0
308,FULL TIMER 32 HRS,The Cotton On Group,sg.indeed.com/rc/clk?jk=78f9dcbc6ca500df&fccid=6db4ddb1c226f4f3&vjs=3,Posted30+ days ago,,"A customer focused, driven individual with excellent communication skills, natural people leadership qualities and a genuine love of retail fashion.",,,0,0,0,0,0
309,Staff Nurse (Wards)-Full time/Part-time,Tan Tock Seng,sg.indeed.com/rc/clk?jk=2f529ff03d5a7fb7&fccid=b0babaafc9cc3312&vjs=3,Posted30+ days ago,,"Staff Nurse (Wards)-Full time/Part-time.
You need to demonstrate a high standard of patient care by performing clinical nursing procedures that meet the…",,,0,0,0,0,0
310,Warehouse Assistant / Up to 2.2k per month,ezbuy,sg.indeed.com/company/ezbuy/jobs/Warehouse-Assistant-da2ab0d304266b3e?fccid=24ebfb8f9e4f81b3&vjs=3,Posted4 days ago,"$1,600 - $2,200 a month","Warehouse experience: 1 year (Preferred).
Applicants who are able to start work on short notice will be advantageous.
Handling of incoming and outgoing goods.",,,1,0,1,1,0
311,Cashier,Don Don Donki,sg.indeed.com/rc/clk?jk=502dda149df9b567&fccid=8da1e9c5ba1b6bf9&vjs=3,Posted30+ days ago,,"At least 1 year of working experience in retail cashier or sales.
Handle cash transactions with customers using cash registers.
Scan goods and collect payments.",,,1,1,1,1,1
312,Lifting Supervisors,Handling System Co. Pte Ltd,sg.indeed.com/rc/clk?jk=a06493ca36f58546&fccid=ec9bbb6be2d563f0&vjs=3,Posted30+ days ago,,"Job Requirement Successfully completed Signalman, Rigger and Lifting Supervisors Safety Courses.",,,0,1,1,1,1
313,Administrative Assistant,Keppel Offshore & Marine,sg.indeed.com/rc/clk?jk=0dbc4ab786d85a0d&fccid=5a2be630799e9295&vjs=3,Posted30+ days ago,,"At least 1 year of working experience in similar capacity.
This individual is part of the administration team to perform a variety of administrative and…",,,1,1,1,1,1
314,Coordinator,TEAM AXIS PTE. LTD.,sg.indeed.com/rc/clk?jk=a4ee20f6846d1bab&fccid=ed1af129064a7749&vjs=3,Posted7 days ago,"$2,000 - $2,500 a month","Candidates who can start immediately or within short notice will have an advantage.
On average, we have around 300+ locations (weekly classes) every month to…",,,1,1,1,1,1
315,Intern/Apprentice,3M,sg.indeed.com/rc/clk?jk=88fcd875bb844a8f&fccid=595d42593839d3a2&vjs=3,Posted30+ days ago,,"Willing to roll up his/her sleeves and collaborate with employees in a number of projects.
Willing to take on new and difficult assignments.",,,0,0,0,0,0
316,Research Assistant,HOL Experiences Pte Ltd,sg.indeed.com/company/HOL-EXPERIENCES-PTE.-LTD./jobs/Research-Assistant-589c996c8b764e84?fccid=c393dd25708ca552&vjs=3,Posted4 days ago,"$1,800 a month","You are a highly inquisitive, intuitive and resourceful person.
You enjoy researching and can synthesis the research into clear and useable information either…",,,1,1,1,1,1
317,Entry Level Electronics Technician,Halliburton,sg.indeed.com/rc/clk?jk=b227623c6c642c29&fccid=0e4554ac6dcff427&vjs=3,Posted30+ days ago,,"Skills typically acquired through 6 months to 1 year of formal education and 1-2 years of working in a technician capacity.
Full Time / Part Time: Full Time.",,,0,1,1,0,0
318,Dog Walker and Pet Sitter,WOOGA,sg.indeed.com/company/WOOGA/jobs/Dog-Walker-Pet-Sitter-d7c20f31f4376c4d?fccid=e6f7015290628880&vjs=3,EmployerActive 1 day ago,$10 an hour,"Working hours from 6am to 3pm, 3 days a week.
Job Types: Full-time, Part-time, Permanent, Temporary.",,,0,0,0,0,0
319,Admin Assistant,Keppel Offshore & Marine,sg.indeed.com/rc/clk?jk=952c4c1cb9825ee1&fccid=5a2be630799e9295&vjs=3,Posted30+ days ago,,"At least 1 year of working experience in similar capacity.
Oversee office equipment (copiers, fax machines, paper shredders).",,,1,1,1,1,1
320,Purchase Assistant,ER Marketing (s) Pte Ltd,sg.indeed.com/company/ER-Marketing-(s)-Pte-Ltd/jobs/Purchase-Assistant-d72c674462edcea9?fccid=062671020ffde8f2&vjs=3,Posted3 days ago,"$1,800 a month","2.Issue PO , Issue invoice.",,,1,1,1,1,1
321,Human Resource Executive,GAG,sg.indeed.com/company/Graduate-Advisory-Group/jobs/Human-Resource-Executive-0f88c60dc81c487f?fccid=1890e993514f865e&vjs=3,EmployerActive 4 days ago,"$2,000 - $3,500 a month","Data entry, data verification, data processing.
Assist managers with administrative duties.
Identify and match the preferred qualifications.",,,1,0,1,1,1
322,Administrator,Desmond Teo Agency (An AIA Agency),sg.indeed.com/company/AIA-DTA/jobs/Administrator-3b9269386f14c519?fccid=c37be5b54038f225&vjs=3,EmployerActive 1 day ago,"$2,000 - $6,982 a month","Able to work 1 hr per day or able to complete tasks.
Part-time hours: 5 per week.
Part-time hours: 5 per week.
Need to update and clear my email and excel.",,,1,1,1,1,1
323,HR Assistant,Kaplan Learning Institute Pte Ltd,sg.indeed.com/rc/clk?jk=83956723dfa7deb1&fccid=55b8f1476f4d26f0&vjs=3,Posted4 days ago,,"Packing, managing & tracking of ART test kits.
Filing and scanning of documents.
Diploma or Higher Nitec holders in HRM or equivalent.",,,1,1,1,1,1
324,Aircraft Brake Cleaner,AEROSPEC SUPPLIES PTE LTD,sg.indeed.com/rc/clk?jk=58b48523dec306a2&fccid=bb02a50fa198938d&vjs=3,Posted8 days ago,"$2,000 - $2,100 a month","Corrosion removal for aircraft brakes by blasting.
Paint removal for aircraft brakes by blasting.
Required to handle heavy items, eg. aircraft brake.",,,0,0,0,0,0
325,ADMISSIONS OFFICER,East Asia Institute of Management,sg.indeed.com/rc/clk?jk=2c53c419092be52e&fccid=1018f356912bda40&vjs=3,Posted30+ days ago,,"Ensure all final year and masters applications are sent to universities.
At least 1 year of working experience.
Maintain and update student records.",,,0,0,0,0,0
326,Customer Relations Officer,TransitLink,sg.indeed.com/rc/clk?jk=0ff5df3d386b938b&fccid=7d6ffe420eedb6f7&vjs=3,Posted27 days ago,,"Attend to call-back requests from customers.
Ensure follow-up on escalated cases.
Filing of claims for customer (i.e over-deduction/failure to exit/double…",,,0,1,1,1,0
327,CLINIC EXECUTIVE,FAMILY ENT SNORING SPECIALISTS PTE. LTD.,sg.indeed.com/rc/clk?jk=db1bfb7bae331539&fccid=9aaf6bab24926868&vjs=3,Posted9 days ago,"$2,200 - $3,200 a month","Prior experience in medical field with medical knowledge is highly preferred.
Providing front-line service to patients and visitors pro-actively.",,,0,0,0,0,0
328,Store Retail Assistant,Sheng Siong Group,sg.indeed.com/rc/clk?jk=215353915d84fcfb&fccid=b08fb934afbcaf70&vjs=3,Posted30+ days ago,,"To replenish empty shelves with merchandises.
To check expiry date of merchandises.
To upkeep cleanliness and tidiness of aisles, displays, and shelves.",,,1,1,1,1,1
329,Guest Services Officer,ROYAL PLAZA,sg.indeed.com/rc/clk?jk=af4a2c0af05f9160&fccid=9888000c814c7698&vjs=3,Posted3 days ago,"$1,800 - $2,300 a month",Make our guests feel at home with your wholehearted friendliness while you attend to their arrival/ departure needs promptly with full accuracy.,,,0,1,1,1,0
330,Spa Receptionist,Fullerton Hotel Singapore,sg.indeed.com/rc/clk?jk=62379496a67b0cd6&fccid=ecead454140f5fc0&vjs=3,Posted4 days ago,,"Solve minor guest complaints and raise customers’ satisfaction as per empowerment program at.
Provide a friendly and hospitable welcome to guests.",,,1,0,1,1,1
331,Social Media & Influencer Content Executive (No Prior Experi...,HP,sg.indeed.com/rc/clk?jk=7fa52e7f368d5893&fccid=1b866506aec22461&vjs=3,Posted30+ days ago,,"1 year experience in a social media, influencer marketing or content management at a digital or creative agency is desired.",,,1,1,1,1,1
332,Warehouse Supervisor,TAURUS ONE PRIVATE LIMITED,sg.indeed.com/rc/clk?jk=c7bd6c219fed160f&fccid=3ba7e8f8328dbd14&vjs=3,Posted3 days ago,"$2,800 - $4,000 a month","Fluency in written and verbal English is a must; fluency in one other language will be advantageous.
As a Warehouse Supervisor, you will be responsible for…",,,1,0,1,1,0
333,Hotel Maintenance Technician,HARBOUR VILLE PTE. LTD.,sg.indeed.com/rc/clk?jk=56336b8f7b688941&fccid=2886c81653d3fe17&vjs=3,Posted7 days ago,"$2,200 - $2,400 a month","Inspect hotel regularly to ensure it meets safety standards.
Arrange for routine maintenance in hotel rooms, lobbies and facilities.",,,0,0,1,0,0
334,Template Genérico,SOFITEL,sg.indeed.com/rc/clk?jk=3db895196ff39483&fccid=e52a8045d312f049&vjs=3,PostedToday,,"En 3-4 puntos, indique las calificaciones y experiencia esenciales (por ejemplo, escolaridad, habilidades técnicas, idiomas).",,,0,0,0,0,0
335,Subcontract Administrator,"TECNICAS REUNIDAS, S.A. (SINGAPORE BRANCH)",sg.indeed.com/rc/clk?jk=804f62891bc04f61&fccid=0791ba765f154c34&vjs=3,Posted8 days ago,"$6,000 - $12,000 a month","Administers large moderately complex (sub)contracts.
Maintains a continuing review of the progress of each (sub)contract and provides management with…",,,1,1,1,1,1
336,Parcel Delivery Driver,AP Last Miles,sg.indeed.com/company/Laksa-house-pte-Ltd/jobs/Parcel-Delivery-Driver-830a8ef0db77f5ec?fccid=588c40b1396ea1f5&vjs=3,PostedToday,"$4,000 - $5,000 a month","Looking for 4 Van and 3 car parcel delivery drivers.
Job Types: Full-time, Permanent, Temporary.
Class 3 Driving Licence (Preferred).",,,0,0,0,0,0
337,Electrical Site Assistant,LIGHT & LIGHTS PTE. LTD.,sg.indeed.com/rc/clk?jk=f4f369c25b95e23e&fccid=48c768b9f30f88f8&vjs=3,Posted8 days ago,"$2,800 - $3,500 a month","Seek for detailed information and always complete the works perfectly.
Liase with administrative colleagues on the updated schedule and list of the works done.",,,1,1,1,1,0
338,Admin Assistant,Singapore Biz,sg.indeed.com/company/Singapore-Biz-Solutions-Pte-Ltd/jobs/Admin-Assistant-2b5d407bda47ccf0?fccid=e9f93b5c89c2e674&vjs=3,EmployerActive 1 day ago,"$1,800 - $2,500 a month","Able to handle simple accounts, Invoices, communicating with clients and follow-up, documentation, report generating, Filiing, other office duties as and when…",,,1,1,1,1,1
339,Production Clerk,Nestlé,sg.indeed.com/rc/clk?jk=3ac0a873d9f331ca&fccid=bfdac90a7574b77c&vjs=3,Posted30+ days ago,,"Provide administrative support to the Production manufacturing plants.
Administer the Time Management Systems for employees (Kronos).",,,0,0,1,1,1
340,Customer Service Support,JOHN ETHANS INTERNATIONAL PTE. LTD.,sg.indeed.com/rc/clk?jk=62b27eeba9b5c2d1&fccid=f2600741c99c4d84&vjs=3,Posted8 days ago,"$2,500 - $3,000 a month","We are sourcing on behalf of our client for a Customer Service Support, based in Singapore.
Respond to customer user issues within the stipulated timeframe via…",,,0,0,0,0,0
341,Full Time Retail Assistant,Cheers,sg.indeed.com/rc/clk?jk=e62205529908b8fe&fccid=8b96e7be8dba35af&vjs=3,Posted3 days ago,,"DESIGNATION : Full Time Retail Assistant - Cheers SMRT Tampines.
Responsible for stacking, displaying and replenishment of products on the shelves, as well as…",,,1,0,1,1,0
342,Administrative Assistant #SGJOBSUNITED,TVI PTE. LTD.,sg.indeed.com/rc/clk?jk=b4302b4ee0427f55&fccid=e658b9b2452f9180&vjs=3,Posted2 days ago,"$2,000 - $2,400 a month","Assist the accounts, purchaser, sales support in data entry.
Assist in filing daily records, generating invoices.
Assist in answering telephone call queries.",,,1,1,1,1,1
343,Warehouse Manager,Olivers & Partners Pte Ltd,sg.indeed.com/rc/clk?jk=34fc5ced79fb9d19&fccid=dd616958bd9ddc12&vjs=3,Posted30+ days ago,"$4,500 - $5,000 a month","Minimum Diploma in related field.
Managing inbound/outbound day to day shipment.
Ensure on time delivery and accurate shipments.",,,0,0,1,1,1
344,Trader,Fortitude Fund Management Pte Ltd,sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CvtvHCEpMGxgAUCjZ1ksWkyZMv6_4wiznqmWeHT4nQbQOy_Cw7hBVqbEWLIP1NHt1Os_MsITK5ZkDsibgxBe5OhdquavuM3BZGaJZVwWoAHIGv90ssiNi3xjlU8zPZeoV-FOjHDJJLZ5x4KSSn6hrab8EZV7YSHF854d78Fa-GKPY9D8fx6JgpS_lnFDxObzB3IG897leiaQp7EThUNG1x4hk11UCntZK_eeT7IU3vfgm0rqj5uJIWjfbGNH2rr4XKSxAe5j4oXLASSyh7tfXwV7iRMcv0uh6cM1886-M61ch2ititkdFxLAqagOjloH6NMA4g-DNPkJE4J6mAKl_zW-Ki4KZlyiVjYU3HxLot80ALQ0oo4derKp_EXs0Hhc7YR3M0K9s72lf38c81WOft87E63JMRH15TWL3bZea4-qR0VGWqOrfb3iWQB8SgsoQwnEG6_BXOag==&p=1&fvj=1&vjs=3,EmployerActive 2 days ago,"$2,000 - $6,000 a month",We are currently looking for applicants who have a passion for trading (Wide variety of asset classes of your choice) and a thirst for knowledge and developing…,,,0,0,0,0,0
345,Warehouse Assistant,JETAIME PERFUMERY PTE. LTD.,sg.indeed.com/rc/clk?jk=f5700f9f0a88bd84&fccid=393fcfbcc08260cc&vjs=3,Posted16 days ago,"$1,800 - $2,200 a month","Pack and fill perfume bottles.
Order picking according to pick list requirement.
Receipt of all materials coming into warehouse, providing assurance that the…",,,1,1,1,1,1
346,Receptionist,Orchard Health Clinic,sg.indeed.com/rc/clk?jk=0286376f2738a908&fccid=3dd64463901e4d61&vjs=3,Posted30+ days ago,,Experience is not necessary (internal training will be provided).,,,1,0,1,1,1
347,Night Filler,Giant Singapore,sg.indeed.com/rc/clk?jk=470d135740ea56e6&fccid=6b0d227ff351495b&vjs=3,Posted30+ days ago,,Display and replenish stocks efficiently and accurately with updated ticketing to ensure continuous stock availability.,,,0,0,0,0,0
348,Warehouse Assistant #48123,Anradus Pte Ltd,sg.indeed.com/company/Anradus-Pte-Ltd/jobs/Warehouse-Assistant-1bf78cbd8ec51f79?fccid=3de18cfd2560ba9a&vjs=3,Posted1 day ago,"$1,800 - $2,500 a month","At least 1 year(s) of working experience in the related field is required for this position.
Working Hours: 5.5 days; Mon - Fri (8:30AM - 5:30PM), Sat (8:30AM…",,,1,0,1,1,0
349,Safety Coordinator,D-TEAM ENGINEERING PTE. LTD.,sg.indeed.com/rc/clk?jk=121627370bd43c80&fccid=2960433a1c1c079e&vjs=3,Posted9 days ago,"$2,300 - $3,600 a month",Ensure project works are conducted according to company’s regulation and assist in implementing company's rules and regulations.,,,1,0,1,1,1
350,Management Trainee,Zion Global Marketing,sg.indeed.com/rc/clk?jk=99284b7e11c3b441&fccid=d38e659e07e92494&vjs=3,Posted30+ days ago,,"Take on multiple roles within the Marketing, Operations, Sales, Finance & Human Resource departments to develop a deep understanding of how a fast-growing…",,,1,0,1,1,1
351,Admin Assistant (Homebased),ROTARY ELECTRICAL & INSTRUMENTATION PTE. LTD.,sg.indeed.com/rc/clk?jk=298c1554dcc55efe&fccid=f8d9a4c28676d211&vjs=3,Posted14 days ago,,"To update team member at least 2 working days in advance before going for leave , in order to minimize downtime.
Follow up K2 - Manpower Requisition Form.",,,1,0,1,1,0
352,Warehouse Assistant,Nayaka,sg.indeed.com/rc/clk?jk=a502d93c672f5348&fccid=400a3596fa18ba6c&vjs=3,Posted30+ days ago,"$2,200 - $3,100 a month","Minimum 1 year of relevant experience.
In-charged of refurbished air-conditioning – in stocks and out stocks, tagging of stocks and maintaining of refurbished…",,,1,1,1,1,1
353,Supervisor II,Seagate Technology,sg.indeed.com/rc/clk?jk=8658e2bd4700231c&fccid=eb193642f8c64a12&vjs=3,PostedToday,,"The Recording Media Operations team is looking for Supervisor.
In this position, you will be responsible direct supervision of the operators.",,,1,1,1,1,0
354,Admin / HR Assistant,ML CONSULTING PTE LTD,sg.indeed.com/rc/clk?jk=945e06e2adf8a7ff&fccid=ad9a3ecbf47aa7af&vjs=3,Posted9 days ago,"$1,800 - $2,500 a month","Able to start immediate / short notice preferred.
Administer work pass applications, cancellation and renewal.
Proficient in Microsoft Word and Excel.",,,0,0,0,1,0
355,ADMIN ASSISTANT,Teledata Fire Systems (Asia) Pte Ltd,sg.indeed.com/rc/clk?jk=46564ffb757aec01&fccid=c904d6939d595d30&vjs=3,Posted30+ days ago,,Job Description GCE ‘N’ Level and above With/without experience Proficient with Microsoft Office Good communication skills Please send your resume to query…,,,0,0,0,0,0
356,SENIOR CITIZEN LIGHT WORK,HK MARINE PTE. LTD.,sg.indeed.com/rc/clk?jk=8964625e93d8d8f7&fccid=6cf3c802ab833861&vjs=3,Posted7 days ago,"$1,300 - $1,800 a month",We are HK MARINE PTE LTD doing business of ship agent and ship supply. we are looking for two (2) senior citizen general workers.,,,0,0,0,0,0
357,Barge Master,Intership,sg.indeed.com/rc/clk?jk=c944f810f44fbf56&fccid=6bca9e1af0d4206f&vjs=3,Posted30+ days ago,,"Keeping good levels of communication with Charterers/Clients on board, making sure they are happy with all aspects of vessel.",,,0,0,0,0,0
358,Operations Assistant - Logistics / MNC #37808a,Anradus Pte Ltd,sg.indeed.com/company/Anradus-Pte-Ltd/jobs/Operation-Assistant-6d2944c02cab7b33?fccid=3de18cfd2560ba9a&vjs=3,Posted1 day ago,"$1,800 - $2,500 a month","Working Location: Jurong Island (Company Transportation Provided).
Working Hours: 4 days, 12 hours Rotating Shift (2 weeks day shifts + 2 weeks night shift).",,,1,0,1,1,0
359,Project Executive,FIRSTCOM SOLUTIONS PTE LTD,sg.indeed.com/company/Firstcom-Solutions-Pte-Ltd/jobs/Project-Executive-5b2b69c2d9c9cad4?fccid=c6753ffc51a94925&vjs=3,Posted1 day ago,"$3,000 - $4,500 a month","Manage and coordinate growth driven web projects with clients and internal stakeholders, ensuring quality and on-time completion.",,,1,1,1,1,1
360,"Materials Coordinator, Asia",BBC,sg.indeed.com/rc/clk?jk=1c026c1a8c9ede4a&fccid=40bdb3ff12c06472&vjs=3,Posted3 days ago,,"Ensure the highest levels of communication resolution of delays, issues or rejections, and swift escalation if required.
Contract type: Fixed-Term, Full-Time.",,,1,0,1,1,1
361,Camera Crew,1MediaConcepts,sg.indeed.com/company/1MediaConcepts/jobs/Camera-Crew-9d6850f4ac988ac5?fccid=4956f5584be8d425&vjs=3,Posted1 day ago,$7 - $20 an hour,"Part-time hours: 5 per week.
All staffs are required to be vaccinated as per our client's requirement.
We are looking for camera crew.",,,0,0,0,0,0
362,FA Technician-6,Micron,sg.indeed.com/rc/clk?jk=3235b86669e45cca&fccid=be240c643a8631c5&vjs=3,PostedToday,,"Evaluate problems using validated detailed troubleshooting methods.
Capture information from supervisors and planning reports.
Assess and evaluate plan results.",,,0,0,0,0,0
363,"Trainee Infant Care Teacher - Place and Train, ACEY Scheme",NTUC First Campus Co-operative Ltd,sg.indeed.com/rc/clk?jk=31c4eeb271919904&fccid=9804172f195bee96&vjs=3,Posted30+ days ago,,You will be enrolled for the WSQ Advanced Certificate in Early Years (ACEY) course that specializes in the learning and development of children aged 0 to 3…,,,1,0,1,1,0
364,Software Tester,BANKING COMPUTER SERVICES PRIVATE LIMITED,sg.indeed.com/rc/clk?jk=e80c8d8c064c6762&fccid=ecf6300aaad76c48&vjs=3,Posted3 days ago,"$6,500 - $9,000 a month","O Black Box Testing (Functional and Non-Functional).
O Automated Testing using TestComplete.
O Defect Management and Tools.",,,1,0,0,0,0
365,HR Manager,Ministry of Defence Singapore,sg.indeed.com/rc/clk?jk=aebba8b83a37f014&fccid=99383bc2cc2d5975&vjs=3,Posted30+ days ago,,"The functions may include manpower planning and administration, welfare management, rewards and recognition, as well as career and performance management.",,,0,1,1,1,1
366,Front office staff,Rupini’s,sg.indeed.com/rc/clk?jk=845d7bb290dc7392&fccid=e8026a6f154d4c36&vjs=3,Posted30+ days ago,,Rupinis recruiting experienced front office staff with a good amount of professional experience.,,,0,0,1,1,0
367,Construction,MING SIA CONSTRUCTION & ENGINEERING PTE. LTD.,sg.indeed.com/rc/clk?jk=c00ef73cee61cbf4&fccid=dd616958bd9ddc12&vjs=3,Posted4 days ago,"$2,500 - $4,500 a month","Perform rebar work/formwork/casting and etc.
Maintain a clean work environment.
Assist in Collection of Goods-.
May need to carry heavy items 5-10kg.",,,0,0,0,1,0
368,Admin Assistant,Chamberwealt Pte Ltd.,sg.indeed.com/rc/clk?jk=ac28c15152a38791&fccid=910fe0bc66bc73ca&vjs=3,Posted30+ days ago,,"Preferably with 1 year working experience in similar field.
Answer phone call and handle customer enquiry.
Prepare quotation to the customer.",,,1,1,1,1,1
369,Equipment Technician,Micron,sg.indeed.com/rc/clk?jk=4be19924cc5d66a6&fccid=be240c643a8631c5&vjs=3,Posted1 day ago,,"Equipment Technicians are responsible for monitoring, sustaining, and improving the equipment in their assigned area, while working in partnership with Shift…",,,1,0,1,1,0
370,Visa Executive,FCM,sg.indeed.com/rc/clk?jk=c2f41e337211a86b&fccid=249dc1a2c75a0223&vjs=3,PostedToday,,"Maintaining and updating current visa database.
When required, assist to submit visa to Embassy nearby office if the despatch/visa team is down.",,,1,0,1,1,1
371,Cleaner,Ramky Cleantech Services Pte Ltd,sg.indeed.com/rc/clk?jk=101a6a07caae27d4&fccid=9e3ac77307f075a0&vjs=3,Posted30+ days ago,,"Provide a comprehensive cleaning services including dusting, vacuuming, washing floors, glass panel cleaning, emptying bins, cleaning toilets, general cleaning…",,,0,0,1,0,0
372,Customer Excellence Executive,RYDE TECHNOLOGIES PTE. LTD.,sg.indeed.com/company/RYDE-TECHNOLOGIES-PTE.-LTD./jobs/Customer-Excellence-Executive-370089addb2fae97?fccid=f4207600fc20bb1e&vjs=3,EmployerActive 2 days ago,"$2,200 - $3,000 a month",Ryde Technologies is looking to hire a *Customer Excellence Executive* to provide technical support to users in an efficient and accurate manner.,,,1,0,1,1,1
373,receptionist cum admin assistance,Penanshin Air Express,sg.indeed.com/rc/clk?jk=5f17c875480218e2&fccid=f2f663fab519ee6c&vjs=3,Posted30+ days ago,,"Knowledge of MS Office applications.
Knowledge of MS Office applications.",,,1,1,1,1,0
374,F10A PEE PCVD Eng,Micron,sg.indeed.com/rc/clk?jk=2bd75d33e84f6cb8&fccid=be240c643a8631c5&vjs=3,PostedToday,,"As a Fab Engineer at Micron Technology, Inc., you will be working with a team of other process and equipment engineers responsible for starting up, developing…",,,0,0,1,0,0
